URL,RA,DEC,Level,Target,Detector,Aperture,Spectral_Elt,NExposures,ExpTime,StartTime,Dataset,PropID,VisitNum,PI_Name,DAOCat,SEXCat,Mode,DBCreationDate,Source,Wavelength,Format,ReleaseDate,NReleaseDate,Title,naxis,scale,naxes,crpix,crval,cd_matrix,filename,regionSTCS
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_13364_79_wfc3_uvis_f336w,210.78697,54.355683,2,NGC5457-1,WFC3/UVIS,UVIS-CENTER,F336W,3,2382,2013-10-19 00:26:03,hst_13364_79_wfc3_uvis_f336w,13364,79,Calzetti,Loaded,Loaded,ACCUM,2014-10-06 02:24:41,HLA,3354.9353,image/fits,2013-10-21 12:21:40,1382358100,13364_79 WFC3/UVIS F336W (combined) NGC5457-1,6111 6087,1.1006E-05,2,3055.501 3043.501,210.786970 54.355683,-1.1006E-05 0 0 1.1006E-05,hst_13364_79_wfc3_uvis_f336w,Polygon J2000 210.81111706 54.33795449 210.81144430 54.33771080 210.84052450 54.35279290 210.83986901 54.35328127 210.84036450 54.35353810 210.79239560 54.38923630 210.79189994 54.38897926 210.76330790 54.37414290 210.76363740 54.37389808 210.76336911 54.37375879 210.76317400 54.37390570 210.73442160 54.35900300 210.73474902 54.35875658 210.73369260 54.35820870 210.73391249 54.35804321 210.73402114 54.35796144 210.78101630 54.32255320 210.78158663 54.32284885 210.78191600 54.32260040 210.81066080 54.33749200 210.81000506 54.33798686 210.81007237 54.33802170 210.81055460 54.33766260
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_13364_79_wfc3_uvis_total,210.78697,54.355683,2,NGC5457-1,WFC3/UVIS,UVIS-CENTER,detection,6,4884,2013-10-19 00:26:03,hst_13364_79_wfc3_uvis_total,13364,79,Calzetti,Loaded,Loaded,ACCUM,2014-10-06 02:24:41,HLA,-9999,image/fits,2013-10-21 12:21:40,1382358100,13364_79 WFC3/UVIS detection (combined) NGC5457-1,6111 6087,1.1006E-05,2,3055.501 3043.501,210.786970 54.355683,-1.1006E-05 0 0 1.1006E-05,hst_13364_79_wfc3_uvis_total,Polygon J2000 210.76336911 54.37375879 210.76317400 54.37390570 210.73442160 54.35900300 210.73474902 54.35875658 210.73369260 54.35820870 210.73391249 54.35804321 210.73402114 54.35796144 210.78101630 54.32255320 210.78158663 54.32284885 210.78191600 54.32260040 210.81066080 54.33749200 210.81065521 54.33749622 210.81065710 54.33749720 210.81000692 54.33798782 210.81007237 54.33802170 210.81055460 54.33766260 210.81111706 54.33795449 210.81144430 54.33771080 210.84052450 54.35279290 210.84052120 54.35279536 210.84052340 54.35279650 210.83987114 54.35328238 210.84036450 54.35353810 210.84036075 54.35354089 210.84036270 54.35354190 210.81983968 54.36882249 210.79239560 54.38923630 210.79189994 54.38897926 210.76330790 54.37414290 210.76331161 54.37414014 210.76330960 54.37413910 210.76363542 54.37389706
http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13364_79_wfc3_uvis_f336w&amp;blue=hst_13364_79_wfc3_uvis_f275w&amp;size=ALL&amp;format=fits,210.78697,54.355683,4,NGC5457-1,WFC3/UVIS,UVIS-CENTER,F336W/F275W,6,4884,2013-10-19 00:26:03,hst_13364_79_wfc3_uvis_f336w_f275w,13364,79,Calzetti,Loaded,Loaded,ACCUM,2014-10-06 02:24:41,HLA,114.314241509,image/fits,2013-10-21 12:21:40,1382358100,13364_79 WFC3/UVIS F336W/F275W (color) NGC5457-1,6111 6087,1.1006E-05,2,3055.501 3043.501,210.786970 54.355683,-1.1006E-05 0 0 1.1006E-05,"hst_13364_79_wfc3_uvis_f336w,hst_13364_79_wfc3_uvis_f275w",Polygon J2000 210.81111706 54.33795449 210.81144430 54.33771080 210.84052450 54.35279290 210.83986901 54.35328127 210.84036450 54.35353810 210.79239560 54.38923630 210.79189994 54.38897926 210.76330790 54.37414290 210.76363740 54.37389808 210.76336911 54.37375879 210.76317400 54.37390570 210.73442160 54.35900300 210.73474902 54.35875658 210.73369260 54.35820870 210.73391249 54.35804321 210.73402114 54.35796144 210.78101630 54.32255320 210.78158663 54.32284885 210.78191600 54.32260040 210.81066080 54.33749200 210.81000506 54.33798686 210.81007237 54.33802170 210.81055460 54.33766260
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_01_ACS_WFC_F435W,210.845581,54.353595,2,NGC5457-1,ACS/WFC,WFC,F435W,2,900,2002-11-15 22:45:54,HST_9490_01_ACS_WFC_F435W,9490,01,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:17:28,HLA,4317.4,image/fits,2003-11-16 17:05:09,1069002309,9490_01 ACS/WFC F435W (combined) NGC5457-1,5700 5700,1.38889E-05,2,2850.000 2850.000,210.845581 54.353595,-1.38889E-05 0 0 1.38889E-05,HST_9490_01_ACS_WFC_F435W,Polygon J2000 210.91292450 54.34004220 210.89086830 54.36561720 210.80112670 54.34364540 210.82322700 54.31808670 Polygon J2000  210.80090200 54.34480080 210.89008890 54.36582350 210.86841810 54.39044660 210.77918880 54.36940790
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_01_ACS_WFC_F555W,210.845581,54.353595,2,NGC5457-1,ACS/WFC,WFC,F555W,2,720,2002-11-15 23:06:14,HST_9490_01_ACS_WFC_F555W,9490,01,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:17:28,HLA,5359.55,image/fits,2003-11-16 03:27:44,1068953264,9490_01 ACS/WFC F555W (combined) NGC5457-1,5700 5700,1.38889E-05,2,2850.000 2850.000,210.845581 54.353595,-1.38889E-05 0 0 1.38889E-05,HST_9490_01_ACS_WFC_F555W,Polygon J2000 210.80090500 54.34480090 210.89008700 54.36582260 210.86841730 54.39044530 210.77919290 54.36940750 Polygon J2000  210.82322800 54.31808730 210.91292280 54.34004190 210.89086720 54.36561660 210.80112840 54.34364570
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_01_ACS_WFC_F814W,210.845581,54.353595,2,NGC5457-1,ACS/WFC,WFC,F814W,2,720,2002-11-15 23:23:25,HST_9490_01_ACS_WFC_F814W,9490,01,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:17:28,HLA,8059.76,image/fits,2003-11-16 04:11:02,1068955862,9490_01 ACS/WFC F814W (combined) NGC5457-1,5700 5700,1.38889E-05,2,2850.000 2850.000,210.845581 54.353595,-1.38889E-05 0 0 1.38889E-05,HST_9490_01_ACS_WFC_F814W,Polygon J2000 210.77919610 54.36940640 210.80090800 54.34480110 210.89008610 54.36582040 210.86841660 54.39044180 Polygon J2000  210.82322960 54.31808890 210.91292050 54.34004180 210.89086560 54.36561500 210.80113070 54.34364580
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_01_ACS_WFC_total,210.845581,54.353595,2,NGC5457-1,ACS/WFC,WFC,detection,6,2340,2002-11-15 22:45:54,HST_9490_01_ACS_WFC_total,9490,01,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:17:28,HLA,-9999,image/fits,2003-11-16 17:05:09,1069002309,9490_01 ACS/WFC detection (combined) NGC5457-1,5700 5700,1.38889E-05,2,2850.000 2850.000,210.845581 54.353595,-1.38889E-05 0 0 1.38889E-05,HST_9490_01_ACS_WFC_total,Polygon J2000 210.80090200 54.34480080 210.89008890 54.36582350 210.86841810 54.39044660 210.77918880 54.36940790 Polygon J2000  210.80112670 54.34364540 210.82322700 54.31808670 210.91292450 54.34004220 210.89086830 54.36561720
http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9490_01_ACS_WFC_F814W&amp;green=HST_9490_01_ACS_WFC_F555W&amp;blue=HST_9490_01_ACS_WFC_F435W&amp;size=ALL&amp;format=fits,210.845581,54.353595,4,NGC5457-1,ACS/WFC,WFC,F814W/F555W/F435W,6,2340,2002-11-15 22:45:54,HST_9490_01_ACS_WFC_F814W_F555W_F435W,9490,01,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:17:28,HLA,334.65490566,image/fits,2003-11-16 04:11:02,1068955862,9490_01 ACS/WFC F814W/F555W/F435W (color) NGC5457-1,5700 5700,1.38889E-05,2,2850.000 2850.000,210.845581 54.353595,-1.38889E-05 0 0 1.38889E-05,"HST_9490_01_ACS_WFC_F814W,HST_9490_01_ACS_WFC_F555W,HST_9490_01_ACS_WFC_F435W",Polygon J2000 210.77919610 54.36940640 210.80090800 54.34480110 210.89008610 54.36582040 210.86841660 54.39044180 Polygon J2000  210.82322960 54.31808890 210.91292050 54.34004180 210.89086560 54.36561500 210.80113070 54.34364580
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_02_ACS_WFC_F435W,210.759629,54.339233,2,NGC5457-7,ACS/WFC,WFC,F435W,2,900,2002-11-13 17:20:48,HST_9490_02_ACS_WFC_F435W,9490,02,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:46:27,HLA,4317.4,image/fits,2003-11-14 05:59:06,1068789546,9490_02 ACS/WFC F435W (combined) NGC5457-7,5400 5400,1.38889E-05,2,2700.000 2700.000,210.759629 54.339233,-1.38889E-05 0 0 1.38889E-05,HST_9490_02_ACS_WFC_F435W,Polygon J2000 210.73005900 54.30547790 210.82354130 54.32109880 210.80683560 54.34801420 210.71329850 54.33238040 Polygon J2000  210.69674670 54.35947390 210.71330970 54.33354320 210.80610390 54.34827270 210.78959370 54.37421610
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_02_ACS_WFC_F555W,210.759629,54.339233,2,NGC5457-7,ACS/WFC,WFC,F555W,2,720,2002-11-13 17:41:08,HST_9490_02_ACS_WFC_F555W,9490,02,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:46:27,HLA,5359.55,image/fits,2003-11-14 06:07:36,1068790056,9490_02 ACS/WFC F555W (combined) NGC5457-7,5400 5400,1.38889E-05,2,2700.000 2700.000,210.759629 54.339233,-1.38889E-05 0 0 1.38889E-05,HST_9490_02_ACS_WFC_F555W,Polygon J2000 210.78959260 54.37421500 210.69675050 54.35947330 210.71331250 54.33354310 210.80610200 54.34827210 Polygon J2000  210.73006010 54.30547830 210.82353980 54.32109860 210.80683460 54.34801380 210.71330000 54.33238060
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_02_ACS_WFC_F814W,210.759629,54.339233,2,NGC5457-7,ACS/WFC,WFC,F814W,2,720,2002-11-13 17:58:19,HST_9490_02_ACS_WFC_F814W,9490,02,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:46:27,HLA,8059.76,image/fits,2003-11-14 06:13:54,1068790434,9490_02 ACS/WFC F814W (combined) NGC5457-7,5400 5400,1.38889E-05,2,2700.000 2700.000,210.759629 54.339233,-1.38889E-05 0 0 1.38889E-05,HST_9490_02_ACS_WFC_F814W,Polygon J2000 210.71331550 54.33354310 210.80610070 54.34827000 210.78959120 54.37421160 210.69675340 54.35947200 Polygon J2000  210.71330230 54.33238050 210.73006190 54.30547990 210.82353750 54.32109870 210.80683270 54.34801220
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9490_02_ACS_WFC_total,210.759629,54.339233,2,NGC5457-7,ACS/WFC,WFC,detection,6,2340,2002-11-13 17:20:48,HST_9490_02_ACS_WFC_total,9490,02,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:46:27,HLA,-9999,image/fits,2003-11-14 06:13:54,1068790434,9490_02 ACS/WFC detection (combined) NGC5457-7,5400 5400,1.38889E-05,2,2700.000 2700.000,210.759629 54.339233,-1.38889E-05 0 0 1.38889E-05,HST_9490_02_ACS_WFC_total,Polygon J2000 210.69674670 54.35947390 210.71330970 54.33354320 210.80610390 54.34827270 210.78959370 54.37421610 Polygon J2000  210.82354130 54.32109880 210.80683560 54.34801420 210.71329850 54.33238040 210.73005900 54.30547790
http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9490_02_ACS_WFC_F814W&amp;green=HST_9490_02_ACS_WFC_F555W&amp;blue=HST_9490_02_ACS_WFC_F435W&amp;size=ALL&amp;format=fits,210.759629,54.339233,4,NGC5457-7,ACS/WFC,WFC,F814W/F555W/F435W,6,2340,2002-11-13 17:20:48,HST_9490_02_ACS_WFC_F814W_F555W_F435W,9490,02,Kuntz,Loaded,Loaded,ACCUM,2010-01-21 21:46:27,HLA,334.65490566,image/fits,2003-11-14 06:13:54,1068790434,9490_02 ACS/WFC F814W/F555W/F435W (color) NGC5457-7,5400 5400,1.38889E-05,2,2700.000 2700.000,210.759629 54.339233,-1.38889E-05 0 0 1.38889E-05,"HST_9490_02_ACS_WFC_F814W,HST_9490_02_ACS_WFC_F555W,HST_9490_02_ACS_WFC_F435W",Polygon J2000 210.71331550 54.33354310 210.80610070 54.34827000 210.78959120 54.37421160 210.69675340 54.35947200 Polygon J2000  210.71330230 54.33238050 210.73006190 54.30547990 210.82353750 54.32109870 210.80683270 54.34801220
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9720_02_ACS_WFC_F658N,210.775922,54.354601,2,ANY,ACS/WFC,WFC,F658N,2,2430,2003-08-27 07:44:47,HST_9720_02_ACS_WFC_F658N,9720,02,Chandar,Loaded,Loaded,ACCUM,2008-01-02 03:30:37,HLA,6584.01,image/fits,2004-08-27 11:07:45,1093604865,9720_02 ACS/WFC F658N (combined) ANY,5750 5750,1.38889E-05,2,2875.000 2875.000,210.775922 54.354601,-1.38889E-05 0 0 1.38889E-05,HST_9720_02_ACS_WFC_F658N,Polygon J2000 210.75890230 54.38019650 210.79889830 54.32921760 210.84012320 54.34291740 210.80016510 54.39391000 Polygon J2000  210.79858090 54.32875470 210.75693070 54.38001520 210.71409030 54.36600310 210.75577980 54.31475730
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_9720_02_ACS_WFC_total,210.775922,54.354601,2,ANY,ACS/WFC,WFC,detection,2,2430,2003-08-27 07:44:47,HST_9720_02_ACS_WFC_total,9720,02,Chandar,Loaded,Loaded,ACCUM,2008-01-02 03:30:37,HLA,-9999,image/fits,2004-08-27 11:07:45,1093604865,9720_02 ACS/WFC detection (combined) ANY,5750 5750,1.38889E-05,2,2875.000 2875.000,210.775922 54.354601,-1.38889E-05 0 0 1.38889E-05,HST_9720_02_ACS_WFC_total,Polygon J2000 210.71409030 54.36600310 210.75577980 54.31475730 210.79858090 54.32875470 210.75693070 54.38001520 Polygon J2000  210.75890230 54.38019650 210.79889830 54.32921760 210.84012320 54.34291740 210.80016510 54.39391000
